signal_id	name	120967	141810	103752	105373	116957	118925	119035	119189	119627	121575	121794	123994	124533	126057	126530	131589	132440	133676	143375	144260	144347	146463	147557	148817	149066	149298	150263	150744	154510	155215	156220	156605	157774	160319	161163	161433	161748	162558	163620	169332	169671	170262	174714	149033	111197	113468	113835	124093	128426	129614	141223	142225	142342	142405	149203	150592	156997	164981	166344	VA26102	VA26103	VA26107	VA26108	VA26111	VA26116	VA26118	VA26119	VA26120	VA26127	VA26129	VA26130	VA26143	VA26153	VA26166	VA26171	VA26173	VA26176	VA26178	VA26185	VA48587	VA48588	VA48589	VA48590	VA48591	VA48592	VA48593	VA48594	VA48595	VA48596	VA48597	VA48598	oci_qc_1	oci_qc_2	oci_qc_3	oci_qc_4	oci_qc_5
303	2-aminomuconic acid semialdehyde	15.25491193	15.5198736	15.41175762	15.14656024	15.40812957	15.3582594	15.36880524	14.95232551	15.18533252	15.72450751	15.37162365	15.39074179	15.75827523	15.48814459	15.39516726	15.69059046	14.88467064	15.50866878	15.77622926	15.54815207	15.98507612	15.37288578	15.108022	15.42918105	15.03252511	15.45658365	15.90366263	15.03908262	15.85185218	15.55411743	15.76778813	15.98670089	15.37791355	18.76796653	15.36204715	15.58841775	17.95383408	14.19177089	14.51793005	14.68905712	14.36645924	14.42687443	15.68102173	15.13019378	16.34454951	13.64419654	15.2905637	14.94442302	14.64044941	14.21009945	14.01416211	16.26935373	15.76586521	15.47134458	14.608264	16.27794744	15.73051969	17.49118541	16.15288555	14.88753287	15.87092146	16.6952429	15.25421057	15.92172616	15.54065337	15.82896572	15.43058544	15.78003902	15.57352788	15.86884726	15.15037531	15.37968221	15.84159213	15.2224753	15.33609713	14.8983364	15.86889299	15.74377764	15.35074779	15.16023642	16.01111134	15.93009712	15.74146216	15.14734271	15.46916492	15.50992851	15.19406968	15.42971985	14.53785617	15.10026948	15.90340079	14.94793072	15.61957455	15.2179385	15.30060253	15.63478784
308	"4-ene-Valproic acid;(E)-4-Octenoic acid;(3E)-2-Propylpent-3-enoic acid;2-ene-Valproic acid;delta-octanolide;trans-alpha-octenoic acid;cis-delta-octenoic acid;cis-alpha-octenoic acid;gamma-octanolide;(3Z)-2-Propylpent-3-enoic acid;1,6-Dioxaspiro[4.5]decane;2S,4R-Dimethyl-5S-hexanolide;trans-delta-octenoic acid;7-octenoic acid;3-tert-butyl-3-butenoic acid;3-Methyl-2E-heptenoic acid;3-Methyl-3E-heptenoic acid;6-methyl-5-heptenoic acid;3-Methyl-3Z-heptenoic acid;3-Methyl-2Z-heptenoic acid;3-Methyleneheptanoic acid;trans-epsilon-octenoic acid;6-Methylheptan-2,4-dione;4-hydroxy-2-octenal;2-ethyl-3E-hexenoic acid;4-Methylheptane-3,5-dione;cis-epsilon-octenoic acid;cis-beta-octenoic acid;trans-beta-octenoic acid;2-methyl-2E-heptenoic acid;2,4-Dimethyl-2-hexenoic acid;cis-gamma-octenoic acid"	18.11590628	17.69912306	18.71800537	17.70022215	16.50486328	18.3807829	18.16830845	17.5971128	18.38076235	18.18061065	17.88090325	18.23093125	18.4672169	17.46847804	18.91893322	17.62871555	18.02717693	17.37528035	18.57062917	18.0844515	17.91578994	17.92040976	17.26522532	18.63799299	16.69770183	18.63071129	17.88399386	17.74222614	19.53262191	18.40435607	18.24624553	18.22304559	17.9219316	18.21701418	18.71609322	17.92876093	17.28560695	18.43312691	17.96155173	18.22197199	17.88838563	17.8957173	18.06542137	18.05503718	18.57440667	19.12018841	19.04627383	19.99650103	17.4037318	17.05394695	17.26694979	17.92228141	18.47103809	18.6653678	18.33437528	18.75222918	18.6637663	19.60036561	17.74535075	17.69150912	17.17143512	17.67870528	18.31829796	18.0466534	18.20204758	17.63190211	17.33829736	17.58871953	18.15794813	17.06375782	17.78645825	17.09496847	18.33979311	17.71699638	17.87951623	17.08095018	17.45757834	18.15797921	16.66101524	17.38277989	18.1024985	17.43251354	18.24314923	17.42485696	18.53214009	17.49355398	17.97302212	18.840867	17.70902792	17.37880468	17.52640034	17.62927981	17.35380366	16.870923	17.18486336	16.70532083
320	FA 7:1;O	21.94181367	22.63341574	22.52895731	22.03443705	21.82254691	22.40689036	22.54420959	22.62396788	22.62868856	22.45239665	21.7323397	22.64587105	22.25016425	22.22687536	22.71975573	21.96759188	22.50702636	22.25216449	23.33582024	22.87455934	22.86834554	22.45973601	22.30183815	22.66601018	22.12667643	22.98373074	22.79722228	21.98010277	23.14469784	22.47340202	22.71836564	22.39020762	22.70106479	22.779068	23.04974955	22.53126393	22.61908743	22.56750513	22.83886167	22.01691698	22.05467672	22.5621154	21.73182467	22.5032581	22.78261316	22.75162911	23.33592589	23.30478658	22.51655147	22.24799641	22.8007716	23.31913331	23.25923592	22.57246713	23.55343658	22.65120855	23.23718727	23.21675117	22.89250919	22.40142548	22.44068442	22.58639483	23.16439214	22.61340908	22.11581976	22.64007566	21.85759983	21.88931618	22.77683199	22.25546701	22.61928769	21.86702277	22.62124783	22.45800652	22.62892783	22.33560185	22.44363315	22.54125283	22.36802248	22.13360421	22.68131531	22.82859057	22.53663474	22.12398079	22.87859319	22.73246469	22.37672303	22.65621997	21.95168374	22.67888219	22.70000616	22.00754368	22.12453125	21.52389437	21.57915404	21.35208938
321	Methyl (R)-3-methyl-2-oxopentanoate;n-valeryl acetic acid;5-aceto valeric acid;isopropyl 3-hydroxybut-2-enoate;2-Keto-n-heptylic acid;3-butyrl propionic acid;4-propionyl butyric acid	22.9068094	23.45454803	23.38240959	23.18753064	22.59017533	23.14652789	23.46434849	23.31996108	23.67530937	23.28104137	22.54991014	23.29981262	23.13574883	23.25838793	23.64612042	22.81086767	23.3011767	23.17023025	24.21069679	23.90987226	23.80487841	23.18216115	23.12915313	23.40650528	22.96976079	23.93715909	23.49004243	23.21951085	23.94775924	23.5375471	23.73276176	23.4940299	23.53148698	23.66092658	23.75925633	23.47585543	23.40855681	21.81127372	22.16515381	21.44254971	21.19757433	21.90325568	20.9240978	21.87206577	21.92339681	22.07271843	22.68355089	22.63758324	21.94600556	21.33486877	22.1052148	22.77447281	22.72857707	21.68511259	22.62853692	21.81256112	23.52437046	23.48360713	22.9357004	22.68447476	22.75919335	22.65463737	23.47546086	22.93608874	22.1279415	22.91342235	22.11463397	22.19230325	22.83367591	22.54428586	22.96110624	22.27703779	22.93623043	22.84156114	22.69015406	24.30621508	24.3291658	24.41146821	24.27498094	24.27183989	24.4947176	24.63959609	24.39295234	23.88581287	24.53144083	24.63453219	24.17723408	24.48234898	23.87318329	24.67725676	24.62039037	23.97219421	23.94651607	23.55308161	21.87162852	21.70179793
324	7-chloro-2E-heptenoic acid	12.3735071	12.23327034	11.32841686	12.81954467	11.94870981	11.93172744	11.97953754	11.2801742	11.55456146	11.78065673	11.55889103	10.93683594	12.46592842	11.76223488	11.27107586	10.86392449	11.9777367	12.08734971	12.86952656	11.26313956	12.39595588	11.78538691	12.02738189	11.65951262	12.70922558	11.088066	12.12781444	12.84100264	12.29795064	11.19271462	12.56117883	12.57649434	11.76947836	12.09852254	12.08388657	12.61806361	11.89860386	11.93268306	12.16924452	13.13483456	11.41799702	12.39300767	11.66462009	12.46469512	12.2983185	12.71003414	13.13741876	12.73155053	11.50673869	11.7397355	13.04511125	11.55790166	13.50253649	12.52545778	13.14881835	13.16669829	13.47647245	12.5269211	12.25621009	12.89756757	12.9142331	11.50242921	12.27330342	13.55742215	11.24504214	11.97876054	12.86747009	12.70409248	12.03456435	12.76293191	13.33069025	12.76773454	13.07741925	12.19984122	12.07608216	12.93928891	13.22998517	12.50178643	12.61331536	12.8163371	12.69056219	13.52755321	12.74248382	13.45238737	12.72028425	13.4422797	12.43408043	11.84907891	12.40142476	13.04926819	13.32023384	12.47695073	12.58092372	12.97735923	11.54252456	12.30040882
336	Agrocybin	10.66070047	13.00850216	12.31759026	12.4021227	12.89467351	13.18464487	12.5301011	12.89633969	12.51071391	12.57747179	13.24809041	12.00603361	11.51384168	12.47803637	13.11348434	12.24509186	13.16199915	13.00794912	15.12440613	15.65322198	14.8252083	15.24805365	15.24438717	15.3423425	14.65385564	14.9071703	15.55634957	15.28165165	15.10104643	14.7578607	15.16418357	15.44688143	15.91848171	15.33489025	15.45163391	14.23521053	15.92219868	15.55612084	14.4510617	14.76046803	15.33275984	14.96638209	15.15753893	10.60106806	10.92032358	10.79851174	9.807871679	10.48883411	11.34728177	12.50070839	11.55530745	10.60313303	12.0199576	7.775443231	7.174777533	12.9944177	6.210929514	6.234502665	6.455488421	10.8743431	11.58639641	12.31954152	11.65489232	11.41812833	12.08843826	11.78124751	12.30807875	11.12422748	12.42422203	10.7420049	13.12841454	11.26215971	12.33488745	11.60798223	12.47485159	13.8823335	14.78295771	13.68695207	14.14375696	13.61247289	14.1493132	14.03913531	14.17823492	13.34348354	14.76747171	14.01592481	14.10336224	14.23790787	14.07779225	14.10154486	13.52924831	13.88924223	14.21866356	13.8385655	10.93136339	11.6588979
337	SFE 10:4	16.7359796	17.64905242	16.08214643	16.18032108	17.59812368	15.27383328	17.28366108	15.001376	16.64046559	18.44623785	16.3801281	15.7896024	16.92579347	16.4508335	16.03028425	14.34344448	16.66946189	17.2005369	16.05453403	16.39312546	16.67705111	15.97615468	17.49157802	15.5471262	16.11096894	16.24607625	14.38457901	16.51350736	15.37518405	14.75972653	16.76654796	15.53737793	16.46494183	15.78313277	15.63279204	16.84943831	17.3138299	16.42680235	16.77820906	16.03137632	17.97201218	16.9598724	14.04689115	14.38309031	13.89157486	16.9736182	17.03233086	14.79001975	15.82478523	14.5855535	15.10263245	14.68300733	15.64094058	14.42318966	15.4874821	13.78543078	14.59258482	16.88134321	14.86403983	17.71719697	17.98804949	17.4255676	17.39012376	17.59017727	17.59243746	17.61085961	16.57833634	17.70145705	16.57177478	17.38841828	17.6553328	17.54090397	17.95867114	17.29002741	16.92842734	17.56275518	17.23831996	16.9939026	16.49288148	16.97873691	16.46536008	16.78727086	17.22898059	17.04622334	16.40910071	17.07840369	16.6206028	16.92701417	16.67612989	17.68684031	17.36744599	16.73327927	16.57805835	16.39284192	17.13734368	16.65319755
339	"cis-Jasmone;2,4,6-undecatrienal"	14.89848329	15.68270207	13.35593295	14.72383527	16.47630178	13.65868015	14.1105359	14.01950782	14.46680045	15.56070927	14.83239088	13.53287405	14.52220442	14.78914298	14.35276319	14.2001142	13.8877197	15.47039997	14.56632309	15.72577913	14.1641068	14.59794573	15.54838538	13.84568225	14.57298725	14.59322346	12.85761995	15.04745647	12.7596836	13.41133814	15.13473923	14.46835747	15.39683287	14.19973235	13.73649985	14.09622197	15.36525835	14.34455616	13.92472486	13.45816156	15.02190238	14.94972411	13.34114188	10.74466194	6.603234957	5.778361326	11.12247642	5.568925222	10.30649632	10.95877198	11.52301367	10.64303029	11.60421434	11.16231996	11.49937674	8.557741785	12.46317181	6.272193115	13.31891017	17.476757	18.20423516	16.08467931	15.92430779	16.56052137	15.88641673	16.24108206	15.98980628	16.30639081	14.95700566	16.27613426	16.41443208	16.82460802	16.55209573	15.91722717	16.23636444	16.29542093	16.90138026	16.19794031	15.64870918	14.76452541	15.7153482	15.37392739	15.26056533	16.47858306	15.50692424	15.21222732	15.32062885	14.2396313	14.58682544	15.85568379	17.15172688	15.01257074	15.21427403	15.21311054	14.80711232	15.04113652
341	2-oxo-4-methylthio-butanoic acid	12.1496145	13.22649208	7.442501911	11.6958198	13.75419338	10.65751975	9.883968026	12.27523011	11.41306203	12.9573939	12.28025993	11.50554333	11.91056441	11.76381974	11.45473018	12.0666034	10.40763241	12.27678858	12.13831072	12.18687989	11.87965699	12.71573952	13.01031509	11.44633917	12.74239439	10.23937824	10.20360981	12.91009955	10.7987331	11.20246823	11.70645759	13.66253802	13.37610161	10.23298668	11.6475323	12.01054135	12.25552676	11.38972901	10.3599041	12.44801205	12.06081486	12.10023973	12.31665923	11.45512943	7.848513686	10.1836681	7.733543347	10.87866861	10.68378318	8.198994948	9.708819419	12.20173278	12.25911971	7.768498895	8.166647576	11.61165971	8.445251627	7.468824778	9.632516127	13.50471378	14.33859917	9.198931445	12.3240393	13.45983137	11.16384271	11.79699117	12.18045777	12.67273469	11.49390373	12.70905989	12.50685509	13.84011047	13.57455627	12.91160767	12.39358738	13.0356742	13.14656025	12.79141893	13.04759939	11.22265136	12.46879701	12.56111454	12.31451765	13.18790182	12.8075482	12.24098823	12.34843717	11.40390562	12.31080595	11.1240175	13.1806274	11.41598082	10.41551133	12.28850499	13.09708523	12.26646335
360	"cis-4-octenedioic acid;2-octenedioic acid;4,7-dioxo-octanoic acid"	14.7623451	14.63249068	17.04313444	15.58311487	15.70139557	15.53403009	15.29902561	16.44322387	16.37030459	15.23323804	15.94080381	15.58295897	16.60414291	17.05589903	16.71170558	16.77372472	15.85094956	16.38464064	15.93087685	16.93349079	15.70203524	16.18277013	16.266276	16.14997683	16.36655626	16.45660957	17.06705305	16.06156103	16.45144849	15.9358122	15.80974661	16.82606713	16.62799366	16.64975273	17.14919364	16.24222272	17.15229112	16.67327877	16.08496124	15.59343493	16.29928054	15.93726883	15.69388766	16.76048972	17.07784097	16.69241229	17.61797242	17.54682955	18.61798529	17.86290283	17.36020696	17.7143959	16.95033332	17.24656213	17.31203969	17.01708245	17.13371903	17.14648998	17.52603684	16.73495084	16.5080862	17.06834948	16.60905537	15.93111292	15.61473166	16.43761428	16.70116363	16.90349308	16.30844605	17.04126174	16.72784704	15.98313706	16.98163745	16.42933778	16.75906835	16.34186405	16.81184112	16.24036932	16.64985001	15.94786008	16.29038306	16.88655344	16.80145118	15.72884051	17.83442921	17.7337797	17.48123017	17.01643213	17.00038018	17.2868916	16.14107138	16.55926553	15.33156329	15.16981074	15.50604917	15.33603343
